Temperature,Pressure,Methane_Ratio,Reactor_Length,Reactor_Diameter,Hydrogen_Yield,CO2_Emissions
744.8979592,21,1.653061224,5.959183673,0.559183673,7.379737609,0.003152877
816.3265306,39,1.653061224,1.734693878,0.595918367,14.95983009,0.005694
683.6734694,16,2.306122449,6.510204082,0.540816327,11.35214078,0.002531343
969.3877551,31,4.102040816,1.734693878,0.33877551,55.45928049,0.002166737
571.4285714,50,2.714285714,7.795918367,0.559183673,2.984293194,0.009785714
775.5102041,15,4.755102041,9.816326531,0.853061224,18.78314735,0.0033
591.8367347,10,2.551020408,5.040816327,0.944897959,22.46343882,0.003193103
846.9387755,23,3.530612245,2.469387755,0.57755102,39.48627601,0.003136867
969.3877551,38,2.87755102,5.959183673,0.57755102,9.238712608,0.004528
908.1632653,15,2.469387755,1.183673469,0.375510204,94.73082336,0.001240449
795.9183673,27,4.591836735,6.693877551,0.118367347,15.16612743,0.000803077
602.0408163,10,1.163265306,3.93877551,0.779591837,13.33536005,0.002589831
602.0408163,23,2.87755102,1.183673469,0.467346939,47.7254995,0.003570847
612.244898,22,2.142857143,2.285714286,0.651020408,19.56748609,0.004678667
765.3061224,25,3.204081633,7.612244898,0.57755102,9.663785085,0.003773333
755.1020408,16,1.244897959,7.795918367,0.687755102,5.65214633,0.002914595
806.122449,40,1.244897959,1.734693878,0.302040816,10.84708884,0.002997468
969.3877551,30,2.795918367,4.857142857,0.504081633,13.95022295,0.00312
561.2244898,15,3.12244898,6.142857143,0.504081633,14.26367889,0.002694545
846.9387755,50,4.020408163,9.448979592,0.853061224,5.405408384,0.010072289
795.9183673,26,4.836734694,9.448979592,0.504081633,11.75232512,0.003293333
979.5918367,42,3.285714286,5.959183673,0.57755102,9.644953872,0.0049525
989.7959184,28,4.836734694,2.285714286,0.669387755,56.1021124,0.003787216
642.8571429,7,2.795918367,1,0.504081633,192.57601,0.001097778
785.7142857,15,3.285714286,5.224489796,0.393877551,24.70703125,0.001503896
816.3265306,27,3.857142857,3.204081633,0.871428571,27.29754322,0.0057645
897.9591837,29,3.12244898,6.142857143,0.357142857,11.80442391,0.002306818
602.0408163,37,2.142857143,3.387755102,0.614285714,7.71910034,0.007550508
887.755102,45,1.408163265,3.387755102,0.706122449,6.150110647,0.007158621
581.6326531,22,4.346938776,5.591836735,0.136734694,15.41403721,0.001034386
826.5306122,5,3.775510204,9.081632653,0.834693878,51.54207751,0.001009877
857.1428571,7,2.306122449,3.755102041,0.155102041,56.39973381,0.000253333
1000,50,3.040816327,4.673469388,0.57755102,9.759825328,0.00577551
877.5510204,24,1.326530612,8.714285714,0.412244898,4.174532811,0.002254884
989.7959184,18,4.673469388,6.693877551,0.724489796,28.79360586,0.002635052
714.2857143,44,4.673469388,5.040816327,0.834693878,11.28805405,0.010283429
979.5918367,6,2.387755102,9.448979592,0.191836735,30.9428307,0.000235
734.6938776,14,3.204081633,5.408163265,0.33877551,23.31811431,0.001291111
510.2040816,22,2.06122449,7.428571429,0.889795918,4.826168729,0.0076736
510.2040816,30,2.632653061,1.551020408,0.853061224,21.65010741,0.010032
959.1836735,29,4.346938776,3.020408163,0.540816327,35.70120965,0.003270213
612.244898,26,4.836734694,5.408163265,0.228571429,15.79485205,0.001941333
591.8367347,20,2.959183673,5.408163265,0.448979592,12.14381979,0.003034483
928.5714286,18,4.102040816,6.510204082,0.57755102,24.3786386,0.002239121
867.3469388,18,1.897959184,2.285714286,0.742857143,30.00865525,0.003083294
581.6326531,45,1.489795918,5.224489796,0.76122449,2.76426977,0.011778947
530.6122449,10,4.102040816,3.387755102,0.57755102,48.18662405,0.002176923
714.2857143,43,4.265306122,8.346938776,0.302040816,6.366309531,0.003636571
857.1428571,48,1.653061224,6.693877551,0.118367347,3.307382404,0.001325714
612.244898,13,3.285714286,5.408163265,0.393877551,21.4596724,0.001672667
918.3673469,40,4.591836735,3.204081633,0.669387755,24.67746653,0.005831111
530.6122449,9,3.612244898,3.204081633,0.136734694,49.85051345,0.000463846
765.3061224,5,3.857142857,5.040816327,0.393877551,87.83979179,0.000514667
989.7959184,42,1,7.06122449,0.118367347,2.503096614,0.001004536
683.6734694,11,3.612244898,7.612244898,0.779591837,22.1198277,0.002508657
653.0612245,34,4.591836735,7.795918367,0.669387755,8.48506942,0.00697
989.7959184,43,2.469387755,6.510204082,0.834693878,6.548369147,0.007252371
918.3673469,32,2.551020408,3.204081633,1,17.13712953,0.006968889
510.2040816,15,4.836734694,5.040816327,0.706122449,24.4774023,0.004152
500,30,3.204081633,2.653061224,0.687755102,15.09615385,0.008253061
510.2040816,30,3.040816327,9.448979592,0.246938776,4.104773659,0.002904
561.2244898,9,1.326530612,1.367346939,0.173469388,45.37262666,0.000556364
551.0204082,7,3.040816327,6.693877551,0.944897959,26.81904643,0.002400741
612.244898,34,4.346938776,4.673469388,0.651020408,12.56179328,0.007230667
663.2653061,48,4.836734694,6.693877551,0.375510204,7.488275417,0.005435077
755.1020408,29,2.06122449,7.612244898,0.118367347,5.287878302,0.000909189
540.8163265,43,3.693877551,3.387755102,0.57755102,10.28520823,0.009184151
755.1020408,43,1.979591837,8.346938776,0.871428571,3.123538606,0.009924865
530.6122449,34,3.448979592,5.040816327,0.412244898,8.008466545,0.005283077
928.5714286,37,5,9.632653061,0.52244898,9.770098488,0.004163516
867.3469388,20,3.285714286,2.285714286,0.155102041,46.75542092,0.000715294
857.1428571,22,1,9.632653061,0.889795918,3.033513097,0.004567619
765.3061224,27,1.734693878,2.102040816,0.302040816,17.54342514,0.0021312
561.2244898,49,1.081632653,7.06122449,0.944897959,1.315835406,0.016499636
969.3877551,37,3.367346939,1,0.706122449,66.16753155,0.005390316
571.4285714,25,2.551020408,3.93877551,0.724489796,11.10288675,0.006339286
561.2244898,46,2.224489796,8.163265306,0.76122449,2.493483807,0.012478545
551.0204082,50,3.857142857,8.714285714,0.52244898,3.658414185,0.009481481
581.6326531,26,1.571428571,4.857142857,0.52244898,5.428132792,0.004670877
663.2653061,14,1.408163265,4.489795918,0.908163265,11.14414922,0.003833846
510.2040816,8,2.959183673,2.102040816,0.981632653,67.33579354,0.0030784
612.244898,41,4.591836735,7.428571429,0.191836735,6.922830778,0.002569333
632.6530612,7,3.367346939,3.204081633,0.52244898,71.23823142,0.001156129
948.9795918,34,2.387755102,6.326530612,0.981632653,7.900660264,0.007033978
612.244898,1,1.816326531,6.87755102,0.797959184,121.2680918,0.000260667
959.1836735,8,1.244897959,7.06122449,0.1,15.85355963,0.000166809
877.5510204,46,1.081632653,4.306122449,0.33877551,3.593926753,0.003551628
826.5306122,18,2.06122449,6.142857143,0.779591837,11.55586819,0.003395556
530.6122449,46,2.06122449,1.551020408,0.651020408,11.49710456,0.011287692
734.6938776,45,3.204081633,5.224489796,0.614285714,7.509566327,0.007525
602.0408163,14,4.428571429,4.12244898,0.724489796,34.64715094,0.003369492
520.4081633,40,2.306122449,7.795918367,0.302040816,2.886426167,0.004643137
612.244898,22,2.714285714,1.367346939,0.448979592,41.43244815,0.003226667
846.9387755,41,2.142857143,9.816326531,0.981632653,3.382000333,0.009504096
581.6326531,50,3.693877551,8.714285714,0.981632653,3.698202935,0.016877193
908.1632653,37,2.469387755,7.612244898,0.540816327,5.971727869,0.004406742
795.9183673,8,2.959183673,1.551020408,1,142.3620435,0.002010256
1000,44,1,8.897959184,0.651020408,1.915658882,0.00572898
826.5306122,13,4.265306122,4.12244898,0.724489796,49.33689013,0.002279012
653.0612245,37,2.87755102,1.367346939,1,27.85850121,0.01133125
653.0612245,43,1.163265306,7.612244898,0.540816327,1.740655112,0.007121875
785.7142857,23,2.87755102,7.428571429,0.706122449,9.924663845,0.004134026
908.1632653,8,4.918367347,5.408163265,0.944897959,77.42948595,0.001664719
867.3469388,24,1.408163265,2.469387755,0.687755102,15.45633749,0.003806118
551.0204082,45,1.408163265,7.612244898,0.908163265,1.698856486,0.014833333
693.877551,3,1.571428571,9.081632653,1,30.01605136,0.000864706
